Account Name,Account ID,Producer,Branch Code,Region Code,Primary Line,Carrier,Annual Premium,Expiration Date,Loss Ratio (3yr),Policies In Force,Client Since,Last Service Touch,Account Status,Open Service Items
Larkspur Logistics,ACT-10063,R. Vasquez,BR-031,RGN-MW,General Liability,Ravenna Group,2543,2026-11-17,0.53,4,2005,2026-09-15,Active,0
Amberline Landscaping,ACT-10064,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Statewide Indemnity,22855,2026-11-09,0.06,2,2017,2026-04-20,Active,0
Sable Landscaping,ACT-10065,D. Whitlock,BR-014,RGN-NE,Umbrella,Ravenna Group,18397,2026-12-08,0.5,4,2000,2026-09-27,Active,0
Amberline Property Mgmt,ACT-10066,S. Okonkwo,BR-022,RGN-NE,Commercial Property,Harborline,76452,2026-12-02,0.22,4,2022,2026-08-05,Active,0
Ironwood Manufacturing,ACT-10067,M. Aranda,BR-014,RGN-NE,Umbrella,Meridian Mutual,11191,2026-09-18,0.2,5,2025,2026-05-14,Active,2
Trellis Machine Works,ACT-10068,T. Bergeron,BR-022,RGN-NE,Workers Comp,Cordell P&C,9052,2026-10-02,0.34,4,2024,2026-05-13,Active,0
Pinegrove Bakery,ACT-10069,M. Aranda,BR-014,RGN-NE,Inland Marine,Ashfield Casualty,5301,2026-09-07,0.24,6,2003,2026-07-07,Active,0
Ironwood Landscaping,ACT-10070,T. Bergeron,BR-022,RGN-NE,Cyber,Harborline,16426,2026-10-19,0.38,2,2021,2026-04-01,Prospect,1
Sable Dental Group,ACT-10071,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Meridian Mutual,4859,2026-10-02,0.27,2,2007,2026-07-14,Active,0
Windrow Storage,ACT-10072,T. Bergeron,BR-022,RGN-NE,Cyber,Harborline,8999,2026-10-07,0.7,1,2007,2026-06-12,Active,0
Thatcher Manufacturing,ACT-10073,T. Bergeron,BR-022,RGN-NE,Commercial Auto,Ashfield Casualty,18971,2027-01-18,0.25,3,2000,2026-07-04,Active,0
Halyard Transport,ACT-10074,T. Bergeron,BR-022,RGN-NE,General Liability,Ashfield Casualty,14678,2026-09-13,0.25,3,2011,2026-05-16,Active,1
Cobblestone Machine Works,ACT-10075,D. Whitlock,BR-014,RGN-NE,Cyber,Statewide Indemnity,8657,2027-01-10,0.47,3,2016,2026-06-09,Active,2
Larkspur Roofing,ACT-10076,R. Vasquez,BR-031,RGN-MW,Umbrella,Meridian Mutual,1800,2026-09-23,0.51,4,2012,2026-07-13,Active,0
Windrow Landscaping,ACT-10077,T. Bergeron,BR-022,RGN-NE,Commercial Property,Ravenna Group,14563,2026-09-20,0.16,4,1998,2026-05-18,Active,0
Cobblestone Dental Group,ACT-10078,R. Vasquez,BR-031,RGN-MW,Workers Comp,Harborline,58102,2026-09-04,0.46,3,2017,2026-09-16,Active,0
Pinegrove Machine Works,ACT-10079,T. Bergeron,BR-022,RGN-NE,General Liability,Meridian Mutual,32177,2026-09-08,0.15,1,2020,2026-06-04,Active,0
Kestrel Staffing,ACT-10080,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Statewide Indemnity,7125,2026-12-13,0.28,2,2024,2026-08-27,Active,3
Millrace Staffing,ACT-10081,T. Bergeron,BR-022,RGN-NE,Workers Comp,Statewide Indemnity,24395,2026-10-22,0.21,6,2006,2026-07-09,Active,0
Millrace Logistics,ACT-10082,M. Aranda,BR-014,RGN-NE,Commercial Property,Ravenna Group,21009,2026-09-10,0.2,4,2003,2026-06-03,Active,1
Quarry Medical,ACT-10083,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Cordell P&C,25506,2026-09-19,0.3,2,2024,2026-04-18,Non-Renew Pending,0
Vantage Restaurant Group,ACT-10084,T. Bergeron,BR-022,RGN-NE,Cyber,Ravenna Group,31828,2026-10-09,0.6,3,2015,2026-04-05,Active,2
Quarry Dental Group,ACT-10085,D. Whitlock,BR-014,RGN-NE,Commercial Auto,Ravenna Group,6025,2027-02-07,0.07,5,2019,2026-08-09,Active,2
Amberline Plumbing,ACT-10086,R. Vasquez,BR-031,RGN-MW,General Liability,Ravenna Group,86624,2026-09-01,0.91,4,1998,2026-05-03,Prospect,0
Amberline Fabrication,ACT-10087,S. Okonkwo,BR-022,RGN-NE,Professional Liability,Ashfield Casualty,8122,2026-11-26,0.5,3,2014,2026-09-09,Active,0
Sable Bakery,ACT-10088,T. Bergeron,BR-022,RGN-NE,Workers Comp,Harborline,11079,2026-09-24,0.23,3,2009,2026-05-14,Active,0
Ironwood Roofing,ACT-10089,D. Whitlock,BR-014,RGN-NE,Cyber,Cordell P&C,8413,2027-02-07,0.13,4,2005,2026-07-14,Active,2
Foxglove Dental Group,ACT-10090,S. Okonkwo,BR-022,RGN-NE,Commercial Property,Harborline,38683,2026-09-12,0.31,5,2017,2026-06-15,Active,0
Windrow Printing,ACT-10091,D. Whitlock,BR-014,RGN-NE,Commercial Property,Ravenna Group,27761,2026-10-27,0.28,6,2012,2026-07-10,Active,0
Basswood Restaurant Group,ACT-10092,R. Vasquez,BR-031,RGN-MW,Inland Marine,Meridian Mutual,24468,2026-11-18,0.51,2,2003,2026-09-26,Non-Renew Pending,1
Blue Harbor Property Mgmt,ACT-10093,D. Whitlock,BR-014,RGN-NE,Inland Marine,Harborline,22289,2026-12-15,0.55,1,2023,2026-07-28,Active,1
Blue Harbor Restaurant Group,ACT-10094,T. Bergeron,BR-022,RGN-NE,Commercial Property,Ashfield Casualty,7305,2027-01-28,0.24,5,2012,2026-07-03,Active,0
Cobblestone Transport,ACT-10095,M. Aranda,BR-014,RGN-NE,Workers Comp,Harborline,5608,2026-11-28,0.43,2,2020,2026-08-15,Active,0
Foxglove Bakery,ACT-10096,R. Vasquez,BR-031,RGN-MW,Professional Liability,Harborline,19121,2026-09-03,0.59,2,2000,2026-09-09,Active,1
Pinegrove Landscaping,ACT-10097,S. Okonkwo,BR-022,RGN-NE,Umbrella,Meridian Mutual,8027,2026-09-17,0.5,6,2018,2026-07-08,Non-Renew Pending,0
Pinegrove Staffing,ACT-10098,M. Aranda,BR-014,RGN-NE,Commercial Property,Ashfield Casualty,13624,2026-10-10,0.55,5,2005,2026-04-14,Active,0
Foxglove Roofing,ACT-10099,S. Okonkwo,BR-022,RGN-NE,General Liability,Statewide Indemnity,10301,2027-01-25,0.69,1,2009,2026-04-24,Active,0
Cedar Restaurant Group,ACT-10100,S. Okonkwo,BR-022,RGN-NE,General Liability,Cordell P&C,15004,2026-11-02,0.58,6,2010,2026-09-07,Active,0
Halyard Construction,ACT-10101,D. Whitlock,BR-014,RGN-NE,Cyber,Meridian Mutual,56219,2027-01-22,0.66,1,2009,2026-07-18,Active,3
Vantage Machine Works,ACT-10102,R. Vasquez,BR-031,RGN-MW,Commercial Auto,Ravenna Group,16319,2026-09-22,0.16,4,2012,2026-04-07,Active,0
Vantage Plumbing,ACT-10103,M. Aranda,BR-014,RGN-NE,Commercial Auto,Harborline,27012,2027-02-17,0.32,1,2021,2026-09-23,Active,0
Verity Manufacturing,ACT-10104,S. Okonkwo,BR-022,RGN-NE,Commercial Auto,Statewide Indemnity,6550,2027-02-21,0.64,5,2001,2026-09-14,Active,0
Cobblestone Restaurant Group,ACT-10105,R. Vasquez,BR-031,RGN-MW,Cyber,Ashfield Casualty,3074,2026-09-20,0.26,4,2008,2026-07-04,Active,1
Windrow Roofing,ACT-10106,R. Vasquez,BR-031,RGN-MW,Inland Marine,Ashfield Casualty,3548,2026-11-23,0.31,1,2009,2026-07-19,Prospect,0
Thatcher Bakery,ACT-10107,M. Aranda,BR-014,RGN-NE,General Liability,Ravenna Group,9068,2026-10-10,0.44,3,1999,2026-04-07,Active,0
Quarry Printing,ACT-10108,D. Whitlock,BR-014,RGN-NE,Inland Marine,Meridian Mutual,30321,2026-09-27,0.23,4,2017,2026-04-18,Active,0
Cedar Staffing,ACT-10109,M. Aranda,BR-014,RGN-NE,Workers Comp,Meridian Mutual,16598,2026-11-14,0.15,4,2019,2026-05-13,Active,0
Vantage Bakery,ACT-10110,R. Vasquez,BR-031,RGN-MW,Commercial Property,Cordell P&C,41801,2026-10-23,0.2,4,2004,2026-09-23,Non-Renew Pending,0
Halyard Orchards,ACT-10111,S. Okonkwo,BR-022,RGN-NE,Professional Liability,Cordell P&C,4563,2026-09-12,0.72,5,2016,2026-07-12,Active,0
Blue Harbor Fabrication,ACT-10112,M. Aranda,BR-014,RGN-NE,Commercial Auto,Cordell P&C,19878,2026-10-02,0.15,5,2000,2026-08-06,Prospect,2
Sable Roofing,ACT-10113,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Ravenna Group,7440,2026-11-22,0.58,4,2008,2026-07-05,Active,3
Vantage Medical,ACT-10114,M. Aranda,BR-014,RGN-NE,Cyber,Ashfield Casualty,8842,2026-10-20,0.42,3,2009,2026-04-26,Active,0
Foxglove Construction,ACT-10115,M. Aranda,BR-014,RGN-NE,Umbrella,Meridian Mutual,11496,2027-01-22,0.42,3,2023,2026-06-17,Active,0
Verity Dental Group,ACT-10116,R. Vasquez,BR-031,RGN-MW,Inland Marine,Ashfield Casualty,24906,2026-12-23,0.17,3,2009,2026-09-07,Non-Renew Pending,0
Cobblestone Construction,ACT-10117,R. Vasquez,BR-031,RGN-MW,General Liability,Harborline,3883,2026-09-12,0.52,1,2011,2026-08-05,Prospect,0
Blue Harbor Electric,ACT-10118,R. Vasquez,BR-031,RGN-MW,Inland Marine,Harborline,19659,2026-11-20,0.31,1,2020,2026-07-01,Active,3
Millrace Machine Works,ACT-10119,T. Bergeron,BR-022,RGN-NE,Cyber,Harborline,6604,2027-02-18,1.09,1,2022,2026-08-06,Prospect,0
Pinegrove Logistics,ACT-10120,M. Aranda,BR-014,RGN-NE,Commercial Auto,Cordell P&C,69111,2026-10-19,0.86,2,2011,2026-06-11,Active,0
Ironwood Printing,ACT-10121,T. Bergeron,BR-022,RGN-NE,Commercial Auto,Statewide Indemnity,15635,2026-11-15,0.53,4,2013,2026-05-26,Active,0
Verity Landscaping,ACT-10122,R. Vasquez,BR-031,RGN-MW,Commercial Auto,Ashfield Casualty,15437,2027-01-06,0.27,1,2023,2026-05-18,Active,0
Sable Auto Group,ACT-10123,D. Whitlock,BR-014,RGN-NE,Cyber,Harborline,11015,2027-01-27,0.22,4,2007,2026-08-19,Non-Renew Pending,0
Cedar Logistics,ACT-10124,S. Okonkwo,BR-022,RGN-NE,Commercial Auto,Harborline,12962,2026-09-06,0.65,2,2020,2026-09-08,Active,1
Trellis Construction,ACT-10125,T. Bergeron,BR-022,RGN-NE,Umbrella,Meridian Mutual,19796,2026-09-19,0.15,1,2018,2026-05-01,Active,0
Windrow Property Mgmt,ACT-10126,M. Aranda,BR-014,RGN-NE,Commercial Auto,Harborline,4836,2027-01-20,0.23,4,2019,2026-04-15,Active,0
Kestrel Logistics,ACT-10127,M. Aranda,BR-014,RGN-NE,Inland Marine,Meridian Mutual,6553,2027-02-01,0.22,2,2008,2026-04-06,Active,0
Foxglove Staffing,ACT-10128,R. Vasquez,BR-031,RGN-MW,Professional Liability,Ravenna Group,10286,2026-11-11,0.17,5,2012,2026-06-11,Prospect,0
Verity Property Mgmt,ACT-10129,S. Okonkwo,BR-022,RGN-NE,General Liability,Ashfield Casualty,34043,2026-09-06,0.34,6,1998,2026-06-16,Active,0
Halyard Landscaping,ACT-10130,S. Okonkwo,BR-022,RGN-NE,Commercial Property,Statewide Indemnity,19810,2026-10-03,0.53,5,2012,2026-04-03,Active,0
Thatcher Roofing,ACT-10131,D. Whitlock,BR-014,RGN-NE,Cyber,Harborline,14913,2026-10-03,0.47,6,2004,2026-09-27,Active,0
Millrace Medical,ACT-10132,T. Bergeron,BR-022,RGN-NE,General Liability,Ashfield Casualty,10102,2027-01-01,0.31,2,2001,2026-06-10,Active,0
Pinegrove Electric,ACT-10133,S. Okonkwo,BR-022,RGN-NE,Inland Marine,Harborline,87750,2026-11-16,0.49,2,2018,2026-08-25,Active,0
Pinegrove Transport,ACT-10134,S. Okonkwo,BR-022,RGN-NE,Umbrella,Cordell P&C,9822,2026-11-22,0.63,1,2008,2026-04-09,Active,3
Blue Harbor Logistics,ACT-10135,D. Whitlock,BR-014,RGN-NE,Cyber,Meridian Mutual,46070,2026-10-24,0.43,3,2007,2026-08-28,Prospect,0
Pinegrove Auto Group,ACT-10136,S. Okonkwo,BR-022,RGN-NE,Umbrella,Ravenna Group,12128,2026-10-21,0.21,5,2011,2026-04-17,Active,0
Ironwood Staffing,ACT-10137,M. Aranda,BR-014,RGN-NE,Professional Liability,Meridian Mutual,40465,2027-02-09,0.5,4,2004,2026-06-02,Active,0
Sable Staffing,ACT-10138,S. Okonkwo,BR-022,RGN-NE,Workers Comp,Harborline,14587,2026-09-27,0.44,1,2016,2026-07-13,Active,0
Halyard Plumbing,ACT-10139,R. Vasquez,BR-031,RGN-MW,Commercial Auto,Statewide Indemnity,40141,2026-10-11,0.65,1,2023,2026-04-23,Active,0
Sable Electric,ACT-10140,T. Bergeron,BR-022,RGN-NE,Professional Liability,Ashfield Casualty,62149,2026-09-24,0.39,1,2021,2026-05-10,Active,0
Verity Plumbing,ACT-10141,S. Okonkwo,BR-022,RGN-NE,Commercial Property,Cordell P&C,8126,2026-11-03,0.48,3,2022,2026-07-09,Active,0
Halyard Machine Works,ACT-10142,M. Aranda,BR-014,RGN-NE,Cyber,Ashfield Casualty,27918,2026-10-02,0.71,3,2016,2026-07-09,Active,0
Pinegrove Storage,ACT-10143,M. Aranda,BR-014,RGN-NE,Workers Comp,Ashfield Casualty,27067,2026-11-01,0.24,4,2019,2026-07-10,Active,3
Millrace Construction,ACT-10144,R. Vasquez,BR-031,RGN-MW,General Liability,Meridian Mutual,4330,2026-10-15,0.49,3,2015,2026-09-06,Active,1
Millrace Bakery,ACT-10145,R. Vasquez,BR-031,RGN-MW,Commercial Auto,Harborline,15611,2026-10-22,0.29,2,1998,2026-04-03,Active,0
Northgate Landscaping,ACT-10146,D. Whitlock,BR-014,RGN-NE,Cyber,Statewide Indemnity,14014,2026-09-27,0.23,2,2025,2026-07-23,Active,0
Thatcher Machine Works,ACT-10147,R. Vasquez,BR-031,RGN-MW,Workers Comp,Ravenna Group,14942,2026-10-20,0.49,6,2022,2026-05-16,Active,1
Northgate Transport,ACT-10148,M. Aranda,BR-014,RGN-NE,Commercial Property,Meridian Mutual,14294,2026-10-22,0.2,3,1999,2026-08-12,Active,0
Cobblestone Roofing,ACT-10149,D. Whitlock,BR-014,RGN-NE,Cyber,Meridian Mutual,30750,2027-01-20,0.16,4,2022,2026-06-08,Active,0
Trellis Manufacturing,ACT-10150,M. Aranda,BR-014,RGN-NE,General Liability,Cordell P&C,35686,2026-09-12,0.35,6,2014,2026-05-10,Active,2
Pinegrove Roofing,ACT-10151,T. Bergeron,BR-022,RGN-NE,Inland Marine,Statewide Indemnity,14933,2026-10-18,0.22,5,2004,2026-06-28,Non-Renew Pending,0
Cobblestone Medical,ACT-10152,R. Vasquez,BR-031,RGN-MW,Professional Liability,Ashfield Casualty,16827,2026-09-28,0.43,6,2022,2026-04-15,Active,2
Pinegrove Printing,ACT-10153,R. Vasquez,BR-031,RGN-MW,Cyber,Ravenna Group,20350,2026-09-15,0.58,6,2017,2026-04-01,Active,0
Northgate Staffing,ACT-10154,D. Whitlock,BR-014,RGN-NE,Commercial Auto,Harborline,8565,2026-09-18,0.55,1,2009,2026-04-24,Active,0
Kestrel Fabrication,ACT-10155,T. Bergeron,BR-022,RGN-NE,Workers Comp,Cordell P&C,24798,2026-09-01,0.29,4,2018,2026-04-08,Active,0
Northgate Dental Group,ACT-10156,D. Whitlock,BR-014,RGN-NE,Professional Liability,Ashfield Casualty,4504,2026-10-28,0.45,3,2013,2026-04-02,Active,0
Foxglove Logistics,ACT-10157,D. Whitlock,BR-014,RGN-NE,Commercial Auto,Cordell P&C,11156,2026-09-19,0.42,2,2013,2026-09-02,Active,1
Ironwood Restaurant Group,ACT-10158,M. Aranda,BR-014,RGN-NE,Commercial Property,Harborline,11858,2026-10-13,0.76,6,2010,2026-05-03,Active,0
Basswood Staffing,ACT-10159,D. Whitlock,BR-014,RGN-NE,Workers Comp,Ravenna Group,17594,2026-09-15,0.12,4,2011,2026-05-13,Active,0
Larkspur Machine Works,ACT-10160,D. Whitlock,BR-014,RGN-NE,Cyber,Ashfield Casualty,8667,2027-01-10,0.61,1,2018,2026-04-09,Active,0
Vantage Property Mgmt,ACT-10161,S. Okonkwo,BR-022,RGN-NE,Umbrella,Harborline,33153,2026-09-18,0.27,4,2018,2026-06-19,Active,0
Thatcher Dental Group,ACT-10162,M. Aranda,BR-014,RGN-NE,Inland Marine,Ashfield Casualty,47702,2026-10-19,0.23,1,2006,2026-05-12,Active,0
Cobblestone Landscaping,ACT-10163,M. Aranda,BR-014,RGN-NE,Commercial Auto,Cordell P&C,9462,2026-11-04,0.53,2,2021,2026-07-28,Active,0
Foxglove Transport,ACT-10164,R. Vasquez,BR-031,RGN-MW,Commercial Auto,Harborline,11878,2026-12-15,0.22,5,2017,2026-05-22,Active,0
